date,avg_stay_monthly,hotel_occ,spend_per_capita,tourism_receipts,avg_stay_annual,visitor_arrivals,visitor_arrivals_china,year,month,quarter,period,china_share,china_share_pct,avg_stay_monthly_capped,visitor_arrivals_millions,visitor_arrivals_china_thousands,cluster_z_visitor_arrivals,cluster_z_china_share,cluster_z_hotel_occ,cluster_z_avg_stay_monthly_capped,hotel_occ_level_tertile,hotel_occ_level_business,dataset_split
2020-02-01,4.04788206,49.05792106,NA,NA,NA,732966,6222,2020,2,1,covid_shock,0.008488797570419364,0.8488797570419364,4.04788206,0.732966,6.222,-0.5044245696020819,-1.3817314149310806,-2.202158098359493,-0.4596757689560151,low,low,train
2020-03-01,5.82018094,40.162244629999996,NA,4029.34738486,NA,240001,1488,2020,3,1,covid_shock,0.006199974166774305,0.6199974166774305,5.82018094,0.240001,1.488,-1.312505794001398,-1.4007873673347462,-2.905887710113297,-0.2790193175338756,low,low,train
2020-04-01,39.1238523,40.43375004,NA,NA,NA,750,18,2020,4,2,covid_shock,0.024,2.4,33.8316581425,7.5e-4,0.018,-1.7046923407516963,-1.2525905057849305,-2.8844091414769646,2.5762858048706527,low,low,train
2020-05-01,51.88531995,59.25552389,NA,NA,NA,880,23,2020,5,2,covid_shock,0.026136363636363635,2.6136363636363633,33.8316581425,8.8e-4,0.023,-1.7044792413244108,-1.2348038806977202,-1.3954341649019228,2.5762858048706527,low,low,train
2020-06-01,55.33914769,57.04914877,NA,4186.55740391,NA,2171,118,2020,6,2,covid_shock,0.05435283279594657,5.435283279594657,33.8316581425,0.002171,0.118,-1.702363000088827,-0.999883313017309,-1.569978677486094,2.5762858048706527,low,low,train
2020-07-01,52.7038721,66.3914873,NA,NA,NA,6843,958,2020,7,3,covid_shock,0.13999707730527547,13.999707730527547,33.8316581425,0.006843,0.958,-1.6947045345174505,-0.2868389407784668,-0.8309139960845137,2.5762858048706527,low,low,train
2020-08-01,47.51534443,64.75495642,NA,NA,NA,8912,2163,2020,8,3,covid_shock,0.2427064631956912,24.27064631956912,33.8316581425,0.008912,2.163,-1.69131297517088,0.5682838991140743,-0.9603786017126557,2.5762858048706527,low,low,train
2020-09-01,33.89752066,63.12299737,NA,4435.65426399,NA,9500,2422,2020,9,3,covid_shock,0.25494736842105264,25.494736842105265,33.8316581425,0.0095,2.422,-1.690349110069003,0.6701974442922594,-1.0894815336472659,2.5762858048706527,low,low,train
2020-10-01,27.46355685,57.59082346,NA,NA,NA,13399,3169,2020,10,4,covid_shock,0.2365101873274125,23.65101873274125,27.46355685,0.013399,3.169,-1.6839577664767946,0.5166958483112651,-1.5271272403536664,1.9271635858238352,low,low,train
2020-11-01,23.07268519,54.16829902,NA,NA,NA,14749,4007,2020,11,4,covid_shock,0.27167943589395893,27.167943589395893,23.07268519,0.014749,4.007,-1.6817448108857505,0.8095028537313823,-1.797880320721621,1.4795871066547919,low,low,train
2020-12-01,20.43128984,62.04792085,1761.7722066,4830.01478136,4.2866862,24170,7657,2020,12,4,covid_shock,0.3167976830781961,31.67976830781961,20.43128984,0.02417,7.657,-1.6663016593129898,1.185141782235177,-1.1745299487935026,1.2103406967411658,low,low,train
